OnesCount,CorrelatedPairs,Qubits,delta,Run
24,23,45,0,600
40,42,85,-4,601
80,69,155,-1,602
40,36,85,-4,603
64,60,135,-6,604
32,30,60,1,605
40,35,80,-1,606
48,36,85,4,607
56,57,125,-8,608
64,64,115,4,609
88,84,180,-5,610
72,63,155,-8,611
24,18,40,3,612
72,74,140,0,613
64,58,135,-6,614
48,43,100,-4,615
56,62,125,-8,616
40,39,80,-2,617
80,76,165,-5,618
32,31,60,1,619
32,32,65,-2,620
48,46,95,-1,621
40,35,80,-1,622
64,59,130,-3,623
32,37,70,-4,624
64,58,125,-1,625
48,39,95,-2,626
72,62,150,-6,627
64,63,125,-1,628
48,45,90,0,629
64,55,125,-1,630
80,69,150,1,631
72,62,140,-1,632
64,41,125,-2,633
56,50,110,-1,634
32,38,75,-6,635
64,56,130,-2,636
32,25,65,-2,637
32,34,75,-6,638
40,41,85,-4,639
56,44,125,-8,640
56,54,110,-1,641
32,25,65,-2,642
32,26,65,-2,643
64,70,140,-8,644
40,32,75,1,645
48,39,95,-1,646
32,19,60,0,647
32,25,60,2,648
88,75,180,-4,649
80,78,165,-6,650
8,7,15,0,651
48,50,105,-5,652
56,42,115,-4,653
64,58,115,4,654
64,55,120,1,655
24,23,55,-4,656
56,56,120,-5,657
24,22,50,-2,658
64,59,130,-3,659
48,39,90,0,660
72,74,165,-12,661
56,59,125,-8,662
120,128,270,-18,663
40,29,75,1,664
64,67,140,-8,665
40,39,85,-4,666
40,41,90,-6,667
32,28,60,1,668
80,63,150,2,669
24,24,50,-2,670
64,59,120,1,671
64,64,140,-8,672
56,39,95,6,673
64,68,140,-7,674
40,32,80,-2,675
64,67,140,-8,676
56,40,115,-4,677
72,55,125,7,678
40,38,70,4,679
104,92,205,-2,680
32,29,65,-1,681
64,65,140,-7,682
48,50,90,1,683
40,33,80,-1,684
24,27,60,-6,685
24,22,45,0,686
88,78,175,-3,687
48,46,110,-8,688
64,58,125,-1,689
72,74,150,-6,690
24,18,45,1,691
24,15,35,6,692
64,61,140,-8,693
104,88,200,0,694
72,80,145,-2,695
72,61,140,0,696
32,29,65,-2,697
40,38,75,1,698
64,50,120,2,699
40,33,70,3,700
24,29,55,-4,701
56,57,130,-10,702
80,82,170,-8,703
88,71,165,1,704
88,82,190,-10,705
48,45,100,-4,706
64,61,140,-8,707
72,72,160,-9,708
64,72,130,-3,709
88,91,190,-9,710
32,22,60,1,711
80,85,165,-5,712
80,72,160,-3,713
88,83,190,-9,714
72,62,140,-2,715
56,59,120,-4,716
48,42,105,-6,717
32,28,65,-1,718
48,38,80,6,719
40,32,80,-1,720
48,40,100,-4,721
24,24,50,-2,722
72,70,130,5,723
56,44,105,1,724
80,77,165,-6,725
32,20,65,-2,726
64,60,120,2,727
40,30,75,1,728
80,73,160,-2,729
72,73,145,-3,730
72,58,145,-4,731
64,63,135,-5,732
56,51,100,4,733
24,29,55,-4,734
48,43,95,-1,735
40,40,85,-3,736
88,95,180,-5,737
56,55,110,-1,738
32,29,70,-4,739
64,69,130,-3,740
40,35,85,-3,741
64,48,130,-4,742
32,29,65,-1,743
80,75,170,-6,744
72,60,140,-1,745
48,45,85,4,746
64,63,130,-2,747
40,35,70,4,748
24,17,50,-2,749
64,50,125,0,750
48,55,110,-7,751
40,39,80,-2,752
40,34,85,-4,753
24,20,50,-2,754
64,49,110,6,755
40,38,90,-6,756
72,69,145,-2,757
48,49,100,-4,758
64,43,115,4,759
40,47,85,-3,760
48,44,95,-1,761
104,100,205,-3,762
32,39,75,-6,763
112,104,215,0,764
48,37,100,-4,765
56,46,100,3,766
40,43,85,-3,767
80,72,155,0,768
40,50,85,-3,769
32,31,60,1,770
80,92,165,-4,771
48,36,90,1,772
32,36,75,-6,773
40,40,80,-1,774
40,33,75,1,775
48,53,105,-6,776
72,61,145,-3,777
48,40,85,4,778
56,50,110,-1,779
24,27,50,-2,780
48,41,90,0,781
56,57,105,1,782
32,32,60,1,783
56,48,110,-1,784
40,38,75,1,785
72,66,140,0,786
32,33,60,1,787
64,52,120,2,788
32,29,60,1,789
48,33,85,4,790
56,57,115,-3,791
32,26,60,0,792
40,38,80,-2,793
80,78,160,-2,794
