OnesCount,CorrelatedPairs,Qubits,delta,Run
21,22,45,-1,545
28,23,55,2,546
35,38,70,2,547
28,23,50,4,548
35,25,60,6,549
49,49,90,6,550
63,51,105,12,551
21,20,35,4,552
42,32,85,2,553
21,19,40,2,554
42,38,85,2,555
42,41,95,-4,556
28,28,60,-1,557
49,46,95,4,558
56,52,115,1,559
28,30,65,-4,560
35,31,65,4,561
56,58,115,0,562
14,13,30,0,563
70,55,130,7,564
35,28,65,4,565
56,48,110,4,566
42,48,90,-1,567
35,39,80,-3,568
56,50,120,-1,569
49,43,95,4,570
49,45,95,4,571
49,38,90,5,572
21,20,40,2,573
42,46,85,2,574
35,25,65,4,575
49,55,110,-4,576
14,11,30,0,577
63,55,120,5,578
42,42,85,2,579
49,37,100,1,580
49,47,100,1,581
28,20,50,4,582
49,45,100,1,583
84,73,150,11,584
42,34,80,4,585
42,35,80,4,586
56,52,110,3,587
28,22,45,6,588
28,23,50,4,589
49,42,105,0,590
35,27,70,2,591
35,32,75,0,592
56,51,110,4,593
42,41,90,-2,594
28,25,55,2,595
42,39,85,1,596
49,41,85,8,597
49,31,95,3,598
49,37,85,8,599
28,34,60,-1,600
42,45,90,-1,601
35,36,70,1,602
84,79,170,2,603
56,58,125,-4,604
28,30,60,0,605
56,43,110,3,606
42,32,65,10,607
56,54,105,5,608
49,49,95,4,609
49,39,95,3,610
63,51,130,2,611
56,49,115,1,612
77,64,135,12,613
56,50,100,8,614
56,64,130,-9,615
42,31,75,6,616
49,39,90,5,617
42,39,85,1,618
28,27,50,4,619
63,51,115,8,620
70,58,130,7,621
63,58,110,9,622
35,35,65,4,623
35,26,60,6,624
49,35,85,8,625
49,49,110,-4,626
49,46,90,6,627
49,44,90,6,628
35,29,65,4,629
35,26,70,2,630
21,18,35,4,631
35,29,75,-1,632
49,44,95,4,633
7,9,15,0,634
84,69,170,2,635
42,35,80,3,636
49,35,100,2,637
63,54,120,6,638
49,45,100,1,639
63,62,125,2,640
28,20,45,6,641
28,36,65,-4,642
21,20,45,0,643
56,50,105,6,644
42,41,85,1,645
35,32,70,2,646
28,25,50,4,647
21,21,50,-3,648
28,22,55,2,649
28,24,60,0,650
35,28,70,2,651
28,24,60,0,652
56,47,110,3,653
21,14,40,2,654
21,15,40,2,655
28,25,55,2,656
35,32,70,2,657
28,26,50,4,658
21,20,45,-1,659
63,63,125,4,660
56,46,120,-1,661
63,56,130,1,662
56,56,115,0,663
14,14,25,2,664
35,26,65,4,665
49,48,110,-4,666
42,43,90,-1,667
35,29,65,4,668
21,17,35,4,669
35,33,70,1,670
70,51,125,10,671
49,38,85,8,672
49,46,100,2,673
28,24,60,0,674
49,40,90,6,675
49,55,85,7,676
63,56,130,1,677
49,44,100,1,678
63,59,125,4,679
7,6,15,0,680
28,30,60,0,681
70,77,150,-2,682
42,31,85,2,683
56,46,100,7,684
28,27,60,0,685
70,70,150,-3,686
63,58,120,5,687
14,13,30,0,688
42,36,90,-1,689
28,21,55,2,690
28,36,60,-1,691
49,49,105,0,692
35,24,65,4,693
63,58,115,8,694
28,23,60,-1,695
21,25,50,-3,696
56,43,95,10,697
42,28,70,8,698
35,34,70,2,699
35,35,65,4,700
35,41,75,-1,701
35,36,75,-1,702
28,22,60,-1,703
56,43,105,5,704
35,33,70,2,705
28,24,50,4,706
21,24,45,0,707
49,39,90,6,708
70,63,140,3,709
49,45,90,5,710
56,45,110,4,711
42,39,80,3,712
49,42,95,4,713
28,20,55,2,714
42,40,75,6,715
49,45,95,2,716
28,24,60,-1,717
70,61,135,6,718
49,38,85,8,719
56,45,105,6,720
35,34,80,-3,721
77,68,150,4,722
49,44,95,3,723
42,38,85,1,724
21,16,35,4,725
35,29,70,2,726
56,40,105,6,727
70,75,155,-4,728
49,36,100,2,729
28,21,60,-1,730
49,38,90,6,731
14,11,25,2,732
56,44,105,5,733
56,51,105,5,734
28,36,70,-6,735
35,26,55,8,736
21,18,45,0,737
42,42,85,1,738
56,56,110,3,739
21,18,40,1,740
28,24,50,4,741
28,26,50,4,742
35,36,70,1,743
28,25,55,2,744
42,37,75,6,745
70,63,125,10,746
56,49,100,7,747
42,40,70,8,748
70,57,125,9,749
28,19,55,2,750
70,55,135,5,751
49,54,95,3,752
42,38,75,6,753
63,54,120,6,754
28,26,50,4,755
56,50,105,5,756
56,53,115,1,757
49,41,90,5,758
7,5,10,2,759
77,72,145,7,760
35,28,65,4,761
28,22,55,2,762
35,23,60,6,763
42,37,85,1,764
42,38,80,4,765
28,27,55,1,766
42,36,75,6,767
35,32,65,4,768
70,66,135,6,769
49,52,105,0,770
42,38,80,4,771
56,46,110,4,772
56,53,110,3,773
49,49,105,-1,774
28,27,60,0,775
42,38,75,6,776
35,40,80,-3,777
70,64,135,6,778
35,33,75,-1,779
49,42,85,8,780
56,53,115,1,781
35,28,65,4,782
35,24,60,6,783
56,63,120,-2,784
21,25,45,-1,785
56,53,105,6,786
56,44,110,3,787
63,61,120,5,788
56,45,110,4,789
63,65,125,3,790
49,45,95,3,791
49,35,95,3,792
21,29,55,-6,793
42,36,80,3,794
42,29,75,6,795
49,45,90,6,796
42,40,95,-4,797
84,76,170,3,798
49,40,90,6,799
42,32,85,2,800
42,30,80,4,801
77,65,155,2,802
56,44,105,5,803
49,43,90,5,804
63,55,125,3,805
49,43,90,6,806
56,51,100,8,807
28,21,55,2,808
14,11,30,0,809
49,46,90,6,810
49,45,90,6,811
70,71,145,1,812
49,38,95,4,813
28,22,50,4,814
56,53,125,-4,815
21,17,35,4,816
35,26,65,4,817
56,54,105,6,818
