Sum of delta,Phase,Qubits,Spin,CorrelatedPairs,OnesCount
92,0,15,true,9,10
92,0,15,true,9,11
92,0,19,true,8,13
92,1,7,false,5,6
92,1,11,false,4,8
92,1,11,false,7,8
92,1,11,false,7,9
92,1,13,true,8,9
92,1,15,true,6,11
92,1,19,true,10,13
92,1,20,false,10,14
92,1,20,true,11,14
92,2,11,false,7,7
92,2,11,false,7,9
92,2,11,true,4,8
92,2,13,false,6,10
90,0,7,true,5,5
90,0,17,false,10,10
90,0,19,true,11,11
90,0,20,false,11,12
90,1,7,true,5,5
90,1,13,true,8,8
90,1,15,false,6,10
90,1,17,true,10,14
90,1,19,false,11,11
90,1,20,true,8,13
90,1,20,true,10,11
90,2,11,false,7,8
90,2,15,false,9,10
89,0,20,false,10,11
88,0,7,true,5,6
88,0,17,false,7,11
88,0,17,false,10,11
88,0,20,false,9,14
88,1,15,false,6,11
88,1,19,false,10,12
88,2,7,true,5,6
88,2,9,false,6,7
88,2,15,false,6,11
88,2,17,false,10,10
88,2,19,true,10,12
88,2,20,false,9,14
88,2,20,true,10,14
88,2,20,true,11,14
87,0,10,false,7,8
87,2,10,true,6,8
87,2,20,true,8,11
86,0,13,false,8,8
86,1,11,true,4,8
86,1,11,true,7,8
86,1,20,false,7,12
86,2,7,false,5,5
86,2,9,false,6,6
86,2,11,false,4,8
86,2,17,true,10,10
86,2,20,true,10,11
85,0,20,false,9,11
85,1,10,false,6,6
84,0,10,true,7,9
84,0,15,true,8,12
84,0,17,true,9,12
84,0,20,false,7,12
84,0,20,false,8,12
84,0,20,true,10,11
84,1,11,true,7,9
84,1,13,true,5,9
84,1,17,false,11,12
84,1,20,false,12,13
84,2,9,true,6,7
84,2,17,true,7,12
82,0,9,false,6,6
82,0,11,true,7,8
82,0,15,false,9,10
82,0,17,true,10,10
82,0,19,true,6,11
82,0,20,false,8,11
82,1,7,false,5,5
82,1,17,false,6,11
82,1,17,true,5,10
82,2,11,true,3,7
82,2,17,true,10,11
82,2,19,false,6,11
82,2,20,false,7,12
81,0,20,false,10,13
80,0,10,false,6,6
80,0,15,true,7,11
80,0,17,true,7,12
80,0,17,true,10,13
80,1,13,false,8,9
80,1,13,false,8,10
80,1,15,false,7,11
80,1,19,false,11,12
80,1,20,true,8,11
80,1,20,true,10,14
80,1,20,true,11,15
80,2,7,true,6,7
80,2,9,true,6,6
80,2,9,true,7,8
80,2,13,true,5,9
80,2,15,true,7,11
80,2,17,false,10,11
80,2,19,true,8,12
80,2,19,true,10,14
79,2,20,true,9,11
78,0,15,true,4,9
78,0,20,true,12,13
78,1,17,true,6,11
78,2,20,false,8,13
76,0,10,true,6,6
76,0,15,false,10,11
76,0,15,true,10,11
76,0,17,false,11,12
76,0,19,false,11,13
76,0,20,true,11,12
76,1,7,false,6,7
76,1,19,true,6,11
76,1,19,true,7,12
76,1,20,false,11,14
76,1,20,false,12,12
76,2,7,false,6,7
76,2,15,true,9,11
76,2,19,false,7,12
76,2,19,true,6,11
75,0,20,true,8,13
75,2,10,false,7,8
75,2,20,false,11,15
74,0,13,true,5,9
74,1,9,false,6,6
74,1,20,false,8,11
74,2,10,true,6,6
73,1,20,false,9,11
73,2,20,false,9,11
72,0,7,true,6,7
72,0,9,false,6,7
72,0,9,true,7,8
72,0,19,false,6,11
72,0,19,true,11,12
72,0,20,false,7,11
72,0,20,false,10,14
72,1,10,false,7,9
72,1,15,false,8,12
72,1,15,false,9,10
72,1,15,false,10,12
72,1,19,true,12,14
72,1,20,true,9,14
72,1,20,true,12,14
72,2,13,false,3,8
72,2,15,false,10,11
72,2,19,true,11,15
72,2,20,false,8,11
72,2,20,false,12,13
72,2,20,false,12,14
72,2,20,true,9,14
70,0,13,false,5,9
70,0,19,false,7,12
70,0,20,true,7,12
70,1,15,false,4,9
70,1,15,true,4,9
70,2,11,true,7,8
70,2,19,false,11,12
70,2,20,true,11,15
69,2,20,false,11,11
68,0,9,true,6,6
68,0,19,true,7,12
68,0,20,true,10,14
68,1,9,true,6,7
68,1,17,false,10,11
68,1,17,false,10,13
68,1,19,false,7,12
68,1,19,true,10,14
68,1,19,true,12,13
68,2,11,false,8,10
68,2,13,false,8,9
68,2,13,false,8,11
68,2,13,false,9,10
68,2,13,true,9,10
68,2,15,true,6,11
68,2,19,true,11,11
68,2,20,true,12,14
66,0,10,true,7,8
66,0,17,true,6,11
66,0,20,true,7,13
66,1,10,false,7,8
66,1,15,true,5,10
66,1,20,true,7,12
66,2,17,false,5,10
66,2,17,true,5,10
65,1,20,false,11,11
65,1,20,true,7,11
64,0,13,true,3,8
64,0,13,true,8,11
64,0,15,false,8,12
64,0,17,true,5,10
64,0,17,true,11,12
64,0,19,false,9,13
64,0,19,false,12,13
64,1,11,false,8,9
64,1,15,true,9,10
64,1,17,false,5,10
64,1,17,false,7,12
64,1,19,false,12,13
64,2,13,false,5,9
64,2,13,true,8,8
64,2,17,true,10,13
63,0,20,false,7,13
63,2,10,false,2,6
63,2,10,true,7,8
63,2,20,true,12,13
62,0,13,false,3,8
62,0,17,true,10,11
62,1,15,false,5,10
62,1,17,false,11,10
