Experiment,Id,Run,Qubits,Layers,Layer,Spin,Phase,FlagPattern,OnesCount,CorrelatedPairs,V,alpha,delta,Vn,alphaN,deltaN 
Wormholes,1,84,5,1,1,True,0,X....,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,85,5,1,1,True,0,.XX..,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,86,5,1,1,True,0,..X..,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,87,5,1,1,True,0,.XXXX,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,88,5,1,1,True,0,X..X.,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,89,5,1,1,True,0,.X...,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,90,5,1,1,True,0,XXX.X,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,91,5,1,1,True,0,XX...,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,92,5,1,1,True,0,XXX.X,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,93,5,1,1,True,0,XXX..,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,94,5,1,1,True,0,.XX..,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,95,5,1,1,True,0,..XX.,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,96,5,1,1,True,0,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,97,5,1,1,True,0,XXXX.,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,98,5,1,1,True,0,XX..X,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,99,5,1,1,True,0,.....,0,4,0,2.5,-2.5,0,0.5,-0.5
Wormholes,1,100,5,1,1,True,0,..XX.,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,1,5,1,1,True,0.25,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,2,5,1,1,True,0.25,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,3,5,1,1,True,0.25,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,4,5,1,1,True,0.25,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,5,5,1,1,True,0.25,X.XX.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,6,5,1,1,True,0.25,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,7,5,1,1,True,0.25,.XXXX,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,8,5,1,1,True,0.25,.XX..,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,9,5,1,1,True,0.25,X.XXX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,10,5,1,1,True,0.25,..X..,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,11,5,1,1,True,0.25,XXX.X,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,12,5,1,1,True,0.25,.XX..,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,13,5,1,1,True,0.25,.XXX.,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,14,5,1,1,True,0.25,XXXX.,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,15,5,1,1,True,0.25,..XXX,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,16,5,1,1,True,0.25,...X.,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,17,5,1,1,True,0.25,X.X..,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,18,5,1,1,True,0.25,X.X..,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,19,5,1,1,True,0.25,X.X..,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,20,5,1,1,True,0.25,XX...,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,21,5,1,1,True,0.25,.XXX.,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,22,5,1,1,True,0.25,.XX.X,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,23,5,1,1,True,0.25,XX.X.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,24,5,1,1,True,0.25,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,25,5,1,1,True,0.25,.X...,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,26,5,1,1,True,0.25,XXX..,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,27,5,1,1,True,0.25,.X.X.,2,0,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,28,5,1,1,True,0.25,.XX..,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,29,5,1,1,True,0.25,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,30,5,1,1,True,0.25,..X.X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,31,5,1,1,True,0.25,X..X.,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,32,5,1,1,True,0.25,..X..,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,33,5,1,1,True,0.25,.XX..,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,34,5,1,1,True,0.25,X.XXX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,35,5,1,1,True,0.25,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,36,5,1,1,True,0.25,X.X.X,3,0,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,37,5,1,1,True,0.25,XX..X,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,38,5,1,1,True,0.25,XX.X.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,39,5,1,1,True,0.25,X.X.X,3,0,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,40,5,1,1,True,0.25,X.X.X,3,0,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,41,5,1,1,True,0.25,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,42,5,1,1,True,0.25,X..X.,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,43,5,1,1,True,0.25,XXX.X,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,44,5,1,1,True,0.25,..X..,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,45,5,1,1,True,0.25,X.X.X,3,0,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,46,5,1,1,True,0.25,X.X.X,3,0,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,47,5,1,1,True,0.25,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,48,5,1,1,True,0.25,X.X.X,3,0,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,49,5,1,1,True,0.25,.X...,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,50,5,1,1,True,0.25,X...X,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,51,5,1,1,True,0.25,XX.X.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,52,5,1,1,True,0.25,XX.X.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,53,5,1,1,True,0.25,..X.X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,54,5,1,1,True,0.25,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,55,5,1,1,True,0.25,XXX.X,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,56,5,1,1,True,0.25,X.XXX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,57,5,1,1,True,0.25,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,58,5,1,1,True,0.25,...X.,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,59,5,1,1,True,0.25,..X.X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,60,5,1,1,True,0.25,XXX..,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,61,5,1,1,True,0.25,XXX..,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,62,5,1,1,True,0.25,X.XXX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,63,5,1,1,True,0.25,X..XX,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,64,5,1,1,True,0.25,.X...,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,65,5,1,1,True,0.25,X.XXX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,66,5,1,1,True,0.25,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,67,5,1,1,True,0.25,..XX.,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,68,5,1,1,True,0.25,X....,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,69,5,1,1,True,0.25,XX...,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,70,5,1,1,True,0.25,XXXXX,5,4,5,2.5,2.5,1,0.5,0.5
Wormholes,2,71,5,1,1,True,0.25,.XXX.,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,72,5,1,1,True,0.25,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,73,5,1,1,True,0.25,.X...,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,74,5,1,1,True,0.25,.XX.X,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,75,5,1,1,True,0.25,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,76,5,1,1,True,0.25,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,77,5,1,1,True,0.25,XX...,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,78,5,1,1,True,0.25,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,79,5,1,1,True,0.25,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,80,5,1,1,True,0.25,X...X,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,81,5,1,1,True,0.25,XXXX.,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,82,5,1,1,True,0.25,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,83,5,1,1,True,0.25,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,84,5,1,1,True,0.25,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,85,5,1,1,True,0.25,X....,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,86,5,1,1,True,0.25,XX..X,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,87,5,1,1,True,0.25,XXX.X,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,88,5,1,1,True,0.25,X...X,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,89,5,1,1,True,0.25,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,90,5,1,1,True,0.25,.X...,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,2,91,5,1,1,True,0.25,.XX..,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,92,5,1,1,True,0.25,.X.XX,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,93,5,1,1,True,0.25,XXX.X,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,94,5,1,1,True,0.25,..X.X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,95,5,1,1,True,0.25,X.XX.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,96,5,1,1,True,0.25,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,97,5,1,1,True,0.25,XXXX.,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,2,98,5,1,1,True,0.25,XX..X,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,2,99,5,1,1,True,0.25,X.X..,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,2,100,5,1,1,True,0.25,.X.XX,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,1,5,1,1,True,0.5,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,2,5,1,1,True,0.5,X.XX.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,3,5,1,1,True,0.5,X.XX.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,4,5,1,1,True,0.5,.XXXX,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,3,5,5,1,1,True,0.5,X.XX.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,6,5,1,1,True,0.5,..X..,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,7,5,1,1,True,0.5,X...X,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,8,5,1,1,True,0.5,..XXX,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,9,5,1,1,True,0.5,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,10,5,1,1,True,0.5,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,11,5,1,1,True,0.5,XX...,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,12,5,1,1,True,0.5,X...X,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,13,5,1,1,True,0.5,.XX..,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,14,5,1,1,True,0.5,.X.XX,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,15,5,1,1,True,0.5,XX.X.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,16,5,1,1,True,0.5,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,17,5,1,1,True,0.5,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,3,18,5,1,1,True,0.5,.XXXX,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,3,19,5,1,1,True,0.5,...X.,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,20,5,1,1,True,0.5,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,21,5,1,1,True,0.5,XX..X,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,22,5,1,1,True,0.5,X.XXX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,3,23,5,1,1,True,0.5,.X...,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,24,5,1,1,True,0.5,X...X,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,25,5,1,1,True,0.5,..X..,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,26,5,1,1,True,0.5,X...X,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,27,5,1,1,True,0.5,..X..,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,28,5,1,1,True,0.5,.X.XX,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,29,5,1,1,True,0.5,X...X,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,30,5,1,1,True,0.5,.....,0,4,0,2.5,-2.5,0,0.5,-0.5
Wormholes,3,31,5,1,1,True,0.5,.XXX.,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,32,5,1,1,True,0.5,.XXX.,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,33,5,1,1,True,0.5,XXXX.,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,3,34,5,1,1,True,0.5,..X..,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,35,5,1,1,True,0.5,..XXX,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,36,5,1,1,True,0.5,X....,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,37,5,1,1,True,0.5,XX..X,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,38,5,1,1,True,0.5,.X...,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,39,5,1,1,True,0.5,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,40,5,1,1,True,0.5,X..X.,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,41,5,1,1,True,0.5,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,42,5,1,1,True,0.5,XX..X,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,43,5,1,1,True,0.5,XX...,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,44,5,1,1,True,0.5,...X.,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,45,5,1,1,True,0.5,XXXXX,5,4,5,2.5,2.5,1,0.5,0.5
Wormholes,3,46,5,1,1,True,0.5,.XX.X,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,47,5,1,1,True,0.5,X....,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,48,5,1,1,True,0.5,X.X..,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,49,5,1,1,True,0.5,XX...,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,50,5,1,1,True,0.5,.XXXX,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,3,51,5,1,1,True,0.5,.XXX.,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,52,5,1,1,True,0.5,.XX.X,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,3,53,5,1,1,True,0.5,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,54,5,1,1,True,0.5,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,3,55,5,1,1,True,0.5,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,3,56,5,1,1,True,0.5,X..X.,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,57,5,1,1,True,0.5,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,3,58,5,1,1,True,0.5,X.X..,2,1,2,2.5,-0.5,0.4,0.5,-0.1
